evidence_id,claim_ids,source_type,title,identifier,decision,reason,checked_at
E001,C001,standard,"EIP-7594: PeerDAS - Peer Data Availability Sampling",EIP-7594,include-adjacent,"Occupies public rollup/blob data-availability sampling and supports only the contrast boundary against dispute-key serviceability.",2026-08-29
E002,"C001,C003",paper,"EigenAI: Deterministic Inference, Verifiable Results",arXiv:2602.00182,include-adjacent,"Defeats broad encrypted-AI plus threshold-release novelty and narrows any surviving claim to a dispute-readiness audit question. In this canonical CSV, `C003` means the charter-level solution-viability hypothesis from `program-charter.md`, not the narrower false-accept supporting claim in `novelty-claim-specification.md`.",2026-08-29
E003,C001,paper,"Deployable Threshold Information Disclosure on Ethereum",arXiv:2107.01600,include-direct,"Shows deadline-bounded on-chain threshold disclosure and weakens any claim that authorized reconstructability on chain is new by itself.",2026-08-29
E004,C001,paper,"Time-Lock Encrypted Storage for Blockchains",ePrint-2025/2048,include-direct,"Formalizes conditional decryption tied to inclusion and time, further weakening generic conditional authorized-decryptability novelty.",2026-08-29
E005,"C001,C003",paper,"Context-Dependent Threshold Decryption and Its Applications","DOI 10.1007/978-981-95-5119-4_16",include-direct,"Defeats novelty of context-bound share isolation or context-dependent threshold decryption itself. In this canonical CSV, `C003` means the charter-level solution-viability hypothesis from `program-charter.md`, not the narrower false-accept supporting claim in `novelty-claim-specification.md`.",2026-08-29
E006,C001,paper,"UQ-Vote: Consensus-Authorized Threshold Decryption for End-to-End Verifiable Elections","DOI 10.1109/access.2026.3725080",include-adjacent,"Crossref and OpenAlex independently converge on the 2026 IEEE Access record (volume 14, pages 128905--128916). It provides strong adjacent pressure on consensus authorization, public workflow, and liveness/fault handling; this metadata closure does not validate KEYSTONE's positive contribution.",2026-08-29
E007,C001,paper,"Accountability for Misbehavior in Threshold Decryption via Threshold Traitor Tracing",ePrint-2023/1724,include-direct,"Defeats novelty of threshold-decryption accountability alone.",2026-08-29
E008,C001,paper,"Accountable Liveness","DOI 10.1145/3719027.3765032",include-direct,"Requires explicit timing assumptions and blocks any timing-free blame or unconditional deadline-accountability wording.",2026-08-29
E009,"C001,C003",paper,"Ferveo: Threshold Decryption for Mempool Privacy in BFT networks",ePrint-2022/898,include-adjacent,"Shows blockchain threshold-decryption deployment and liveness after ordering/finalization. In this canonical CSV, `C003` means the charter-level solution-viability hypothesis from `program-charter.md`, not the narrower false-accept supporting claim in `novelty-claim-specification.md`.",2026-08-29
E010,"C001,C003",paper,"BEAT-MEV: Epochless Approach to Batched Threshold Encryption for MEV Prevention",USENIX-Sec-2025,include-adjacent,"Shows publicly testable partial decryptions in encrypted transaction systems and weakens any novelty claim around verifiable partial decryptions there. In this canonical CSV, `C003` means the charter-level solution-viability hypothesis from `program-charter.md`, not the narrower false-accept supporting claim in `novelty-claim-specification.md`.",2026-08-29
E011,"C001,C003",paper,"Long Live The Honey Badger: Robust Asynchronous DPSS and its Applications",USENIX-Sec-2023,include-adjacent,"Occupies proactive or dynamic share maintenance under churn and faults. In this canonical CSV, `C003` means the charter-level solution-viability hypothesis from `program-charter.md`, not the narrower false-accept supporting claim in `novelty-claim-specification.md`.",2026-08-29
E012,"C001,C003",paper,"Chosen Ciphertext Secure Public Key Threshold Encryption Without Random Oracles","DOI 10.1007/11605805_15",include-building-block,"Shows robust threshold decryption and invalid partial-decryption identification are established building blocks. In this canonical CSV, `C003` means the charter-level solution-viability hypothesis from `program-charter.md`, not the narrower false-accept supporting claim in `novelty-claim-specification.md`.",2026-08-29
E013,"C001,C003",paper,"Wallet Databases with Observers","DOI 10.1007/3-540-48071-4_7",include-building-block,"Shows the equality-of-discrete-log proof lineage is old prior art and not a KEYSTONE novelty surface. In this canonical CSV, `C003` means the charter-level solution-viability hypothesis from `program-charter.md`, not the narrower false-accept supporting claim in `novelty-claim-specification.md`.",2026-08-29
E014,C001,patent,"Systems and methods for permissioned blockchain infrastructure with fine-grained access control and confidentiality-preserving publish/subscribe messaging",EP3811560B1,include-adjacent,"Shows blockchain-linked audit-triggered threshold-share release to an auditor and pushes residual novelty away from broad audit-plus-release framing.",2026-08-29
E015,C001,patent,"Resilient secret sharing cloud based architecture for data vault",US20170005797A1,include-adjacent,"Shows periodic proof-of-retrievability checks for secret shares and weakens generic share-readiness-audit language.",2026-08-29
E016,C001,patent,"Provable backup confirmation for digital wallets using key shards",US20240354753A1,include-strongest-adjacent,"Closest recovered patent pressure against broad proof-of-can-decrypt or proof-of-reconstructability language without full secret revelation.",2026-08-29
E017,C001,design-doc,"Shutterized Optimism - An Encrypted Mempool for the OP Stack",gov.optimism.io/6387,include-strong-adjacent,"Provides strong public architecture overlap for OP Stack threshold encryption, DKG, keyper roles, and liveness/finality assumptions.",2026-08-29
E018,C001,design-doc,"FHE Rollups: Scaling Private Smart Contracts on Ethereum L2",fhenix-fhe-rollups,include-strong-adjacent,"Shows threshold-decryption-network framing for private Ethereum-oriented computation release.",2026-08-29
E019,C001,design-doc,"Optimism fault-proof security documentation",optimism-fp-security,include-strong-adjacent,"Supplies the dispute-game authorization context that crowds any broad claim to challenge-context novelty.",2026-08-29
E020,C001,query-log,"dispute key availability threshold decryption rollup",Q001-arxiv_api+Q001-openalex_works,non-evidence,"Both live queries returned only noisy or indirect results; zero direct hit is not evidence of novelty.",2026-08-29
E021,C001,query-log,"pre authorization threshold decryption readiness audit canary",Q002-arxiv_api+Q002-openalex_works,non-evidence,"Both live queries were noisy and required known-item recovery; absence of a clean direct hit is non-evidence.",2026-08-29
E022,C001,query-log,"secret share retrievability audit",Q004-arxiv_api+Q004-openalex_works,non-evidence,"Bounded live queries left an open question rather than a novelty result.",2026-08-29
E023,C001,local-audit,"paper/references.bib",local-bibliography-audit,history-note,"A current spot-check of `paper/references.bib:121-172` shows that the earlier audit's five named examples `ETHTID`, `Ferveo`, `tTLES`, `Practical Mempool Privacy via One-time Setup Batched Threshold Encryption`, and `vetKeys` are now present. Treat that earlier list as inherited audit history rather than a current local-file gap list; this fix pass does not assert a new exhaustive missing-source list.",2026-08-29
