row_id,claim_ids,claim_clause,source_role,source_title,source_url,source_status,audit_result,mischaracterization_risk,safest_manuscript_treatment
R01,"C001;K-C1","ciphertext data availability is distinct from present dispute-key serviceability","contrast boundary","EIP-7594: PeerDAS - Peer Data Availability Sampling","https://eips.ethereum.org/EIPS/eip-7594","primary source","PeerDAS supports only the public data-availability side of the distinction; it does not establish dispute-key serviceability","medium","Cite PeerDAS only as the contrasting public-DA property; define serviceability as KEYSTONE's own property"
R02,"C001;K-C1","encrypted-rollup / encrypted-AI dispute setting is already populated prior art","adjacent predecessor","EigenAI: Deterministic Inference, Verifiable Results","https://arxiv.org/abs/2602.00182","primary source","Broad encrypted-AI threshold-release novelty is defeated; the specific readiness-audit question remains KEYSTONE-owned","high","Say KEYSTONE studies a narrower dispute-readiness question in an already populated encrypted-rollup/AI design space"
R03,"C001;K-C1;K-C5","deadline-bounded or condition-dependent threshold release is prior art","direct predecessor","ETHTID: Deployable Threshold Information Disclosure on Ethereum","https://arxiv.org/abs/2107.01600","primary source","Supports that predefined release time plus on-chain coordination is not novel alone","high","Do not claim deadline-bounded authorized reconstructability alone as novel"
R04,"C001;K-C1","conditional authorized decryptability is prior art","direct predecessor","Time-Lock Encrypted Storage for Blockchains","https://eprint.iacr.org/2025/2048","primary source","Supports that inclusion-plus-time conditional decryption is already formalized","high","Treat KEYSTONE's contribution as narrower than generic conditional decryptability"
R05,"C001;K-C2","context-bound share isolation is prior art","direct predecessor","Context-Dependent Threshold Decryption and its Applications","https://eprint.iacr.org/2025/279","primary source","Defeats any novelty claim around context isolation or context-bound threshold decryption itself","critical","Describe transcript binding or context use as adoption/integration, not cryptographic novelty"
R06,"C001;K-C5","consensus-finalized authorization and public decryption workflow are adjacent prior art","adjacent predecessor","UQ-Vote: Consensus-Authorized Threshold Decryption for End-to-End Verifiable Elections","https://www.researchgate.net/publication/412595509_UQ-Vote_Consensus-Authorized_Threshold_Decryption_for_End-to-End_Verifiable_Elections","accessible accepted-version source","Strong adjacent collision for consensus authorization, public log, and liveness/fault workflow; final IEEE metadata still needs confirmation","critical","Use only as adjacent prior art and keep metadata-sensitive until IEEE final record is verified"
R07,"C001;K-C5","threshold-decryption accountability is prior art","direct predecessor","Accountability for Misbehavior in Threshold Decryption via Threshold Traitor Tracing","https://eprint.iacr.org/2023/1724","primary source","Defeats novelty of accountability in threshold decryption by itself","high","Claim only dispute-specific readiness/deadline evidence, not accountability as a new primitive"
R08,"C001;K-C5","timing-free blame is unsafe","direct predecessor","Accountable Liveness","https://arxiv.org/abs/2504.12218","primary source plus ACM DOI","Supports the need for explicit timing assumptions and conditional accountability only","critical","Say deadline evidence is conditional on declared timing assumptions; avoid guilt claims without those assumptions"
R09,"C001;K-C2","verifiable partial decryptions are established tools","building-block predecessor","Chosen Ciphertext Secure Public Key Threshold Encryption Without Random Oracles","https://doi.org/10.1007/11605805_15","primary source","Supports that verifiable threshold-decryption machinery is prior art; does not support KEYSTONE's canary-audit composition","high","Write 'using established verifiable partial-decryption techniques' rather than implying a new proof system"
R10,"C001;K-C2","DLEQ/Chaum-Pedersen proof lineage is established","building-block predecessor","Wallet Databases with Observers","https://doi.org/10.1007/3-540-48071-4_7","primary source","Supports that equality-of-discrete-log proof lineage is prior art","high","Treat DLEQ-style proof transcripts as adopted tools"
R11,"C001;K-C3","catastrophic false-accept analysis","no predecessor source found","n/a","n/a","no direct external support recovered","Current source set does not establish this clause; it must be carried by KEYSTONE's own theorem/simulation evidence","medium","Write as 'we derive' or 'we analyze' and attach theorem/table evidence"
R12,"C001;K-C4","correlated-failure qualifications and failure-domain-aware sampling","adjacent motivation only","Long Live The Honey Badger: Robust Asynchronous DPSS and its Applications","https://www.usenix.org/conference/usenixsecurity23/presentation/yurek","primary source","DPSS/churn is prior art, but the exact correlated-serviceability audit claim remains KEYSTONE-owned","medium","Do not cite DPSS as if it proves the KEYSTONE sampling result; use it only to bound what is not novel"
R13,"C001;K-C2","pre-authorization, non-production canary partial-decryption audit","no predecessor source found","n/a","n/a","no direct external support recovered","No direct prior or validating source was recovered in this bounded audit","medium","Present as a proposed protocol step that requires internal proof sketch and implementation evidence"
R14,"C001;K-C5","deadline-evidence interface","adjacent pattern only","Cryptoeconomic Security for Data Availability Committees","https://arxiv.org/abs/2208.02999","primary source","Supports query/escalation/slashing pattern for committee service availability, but not threshold-decryption serviceability specifically","medium","Use as adjacency only; do not present public escalation or slashing workflow as independently novel"
R15,"K-C1;K-C2;K-C3;K-C4;K-C5","current bibliography coverage for strongest predecessors","local artifact audit","paper/references.bib","/Users/rainbow/Documents/ZTech/Research/KEYSTONE_MPP_v1.0/paper/references.bib","local file","Missing several strongest predecessors named in reconciliation docs, so the claim boundary is not yet bibliography-complete","critical","Add missing entries before promoting reconciliation wording into manuscript prose"
