asset_id,asset_type,source,authorization,acquired_at,sha256,processing,owner
ASSET-BASELINE,SYNTHETIC_CONFIGURATION,prototype/results/baseline.json,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,SOURCE_DATE_EPOCH_OR_OMITTED,1bb15f333fe5620543ed378223dfb64c0db86bc461c59e4da2afc62877687730,Separately invoked deterministic baseline workflow output.,root-integration-owner
ASSET-CONTRACT-QA-RECEIPT,PREAUTHORIZATION_ENGINEERING_QA_RECEIPT,contracts/results/engineering_qa/rid-c002-contract-001-preauth-receipt.json,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,2026-08-29T03:27:35.006581Z,dc94c19b5d0176757a36f883b8933f928decd1e92bff7a8575ed039f263c9ed5,Internal smart-contract QA receipt; not a production security audit.,root-integration-owner
ASSET-CRYPTO-BENCHMARK,INTERNAL_ENGINEERING_QA_OUTPUT,prototype/results/crypto_benchmark.csv,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,SOURCE_DATE_EPOCH_OR_OMITTED,1c5efa4d13d46ed3f31d77c6c2f2a70adf848429d500197a5f1d1a378fd9a5ce,Internal non-empirical benchmark output; not independently reproduced.,root-integration-owner
ASSET-CRYPTO-QA-RECEIPT,PREAUTHORIZATION_ENGINEERING_QA_RECEIPT,prototype/results/engineering_qa/rid-c002-crypto-001-preauth-receipt.json,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,2026-08-29T01:05:32.034563Z,dd85b75928f15862fae3c338d72c3f64a809e9303fbaccc01df8701ad6971ceb,Internal cryptographic prototype QA receipt; not a cryptographic audit.,root-integration-owner
ASSET-DOMAIN-DIVERSITY,SIMULATION_OR_ANALYTIC_DATASET,prototype/results/domain_diversity.csv,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,SOURCE_DATE_EPOCH_OR_OMITTED,9ad3b9da81e4a9169481645d853742997303da3fadd5f885c4eb02f131d33e0e,Generated by the deterministic local experiment pipeline and hash-bound by experiment_manifest.json.,root-integration-owner
ASSET-EXACT-STRATIFIED-VALIDATION,SIMULATION_OR_ANALYTIC_DATASET,prototype/results/exact_stratified_validation.csv,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,SOURCE_DATE_EPOCH_OR_OMITTED,4256a9bf771838b9bfd804d9dcd486fd137555a6853e5feaeca3c9f44160b8d9,Generated by the deterministic local experiment pipeline and hash-bound by experiment_manifest.json.,root-integration-owner
ASSET-GAS-REPORT,INTERNAL_ENGINEERING_QA_OUTPUT,contracts/gas_report.csv,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,SOURCE_DATE_EPOCH_OR_OMITTED,7431faffe73379a745204bf480f48172fb4c8e96546b562c81e898bfd8ca2cc1,Internal Foundry gas snapshot export; not field-cost evidence.,root-integration-owner
ASSET-IID-FAILURE-SWEEP,SIMULATION_OR_ANALYTIC_DATASET,prototype/results/iid_failure_sweep.csv,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,SOURCE_DATE_EPOCH_OR_OMITTED,decaa9e3d709f16bc1fb3fc534327028adf0d8a54bdfaca2e89f4f0d6a95ca56,Generated by the deterministic local experiment pipeline and hash-bound by experiment_manifest.json.,root-integration-owner
ASSET-MARKOV-TEMPORAL-DEPENDENCE,SIMULATION_OR_ANALYTIC_DATASET,prototype/results/markov_temporal_dependence.csv,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,SOURCE_DATE_EPOCH_OR_OMITTED,ac1bd20264a92e689de3ef074f1bfdf94cfde9c9f6dec7975a69ec22e3c7cb86,Generated by the deterministic local experiment pipeline and hash-bound by experiment_manifest.json.,root-integration-owner
ASSET-PROPERTY-SEPARATION,ANALYTIC_SPECIFICATION,paper/property_separation_obligations.md,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,SOURCE_DATE_EPOCH_OR_OMITTED,24133943af8e05d32f0b49333dd80c4c4b91785860ae6ef82a336835e3a3f903,Authored preauthorization property-separation specification; no empirical transformation.,root-integration-owner
ASSET-SAMPLING-STRATEGY,SIMULATION_OR_ANALYTIC_DATASET,prototype/results/sampling_strategy.csv,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,SOURCE_DATE_EPOCH_OR_OMITTED,8accd8b37dd007f4090a8cc5d1e57ed8cb5259a52177b6c5c4da5deaa87ae068,Generated by the deterministic local experiment pipeline and hash-bound by experiment_manifest.json.,root-integration-owner
ASSET-SELECTIVE-WITHHOLDING,SIMULATION_OR_ANALYTIC_DATASET,prototype/results/selective_withholding.csv,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,SOURCE_DATE_EPOCH_OR_OMITTED,f97239e8cb8bf22dbdd3d3713b33680cb75ccd37b9d731dae2dc21239c1bf8b7,Generated by the deterministic local experiment pipeline and hash-bound by experiment_manifest.json.,root-integration-owner
ASSET-THEORETICAL-BOUND,SIMULATION_OR_ANALYTIC_DATASET,prototype/results/theoretical_bound.csv,PREAUTHORIZATION_ONLY / NOT_SCIENTIFIC_EVIDENCE,SOURCE_DATE_EPOCH_OR_OMITTED,9c5a4cedbe22dddf9c1863f9546b22e232bd6b531b3437e695b828b65f2b1d02,Generated by the deterministic local experiment pipeline and hash-bound by experiment_manifest.json.,root-integration-owner
