id,kind,surface,title,year,identifier,url,access_date,decision,relevance_axis,notes
PT1,patent,Google Patents,"Systems and methods for permissioned blockchain infrastructure with fine-grained access control and confidentiality-preserving publish/subscribe messaging",2024,EP3811560B1,https://patents.google.com/patent/EP3811560B1/en,2026-08-29,include,"K-C2,K-C5","Permissioned blockchain source stating ciphertexts may be stored and threshold decryption shares sent to an auditor when an audit procedure is needed; weakens broad audit-triggered threshold-release novelty."
PT2,patent,Google Patents,"Resilient secret sharing cloud based architecture for data vault",2017,US20170005797A1,https://patents.google.com/patent/US20170005797A1/en,2026-08-29,include,"K-C3,K-C4","Secret-share system with periodic proof-of-retrievability checks against stored shares; weakens broad operational share-readiness / retrievability-audit novelty."
PT3,patent,Google Patents,"Lattice-based threshold signature method and threshold decryption method",2024,WO2024228005A1,https://patents.google.com/patent/WO2024228005A1/en,2026-08-29,background,"K-C3","Shows contemporary patent activity around threshold-decryption correctness checks; not a direct rollup/dispute predecessor."
STD1,standard,Ethereum Improvement Proposals,"EIP-7594: PeerDAS - Peer Data Availability Sampling",2024,EIP-7594,https://eips.ethereum.org/EIPS/eip-7594,2026-08-29,include,"C001,K-C1","Official standard for public rollup/blob data-availability sampling; defeats any broad KEYSTONE claim to new DAS."
STD2,design-doc,Optimism governance,"Shutterized Optimism – An Encrypted Mempool for the OP Stack",2023,gov.optimism.io/6387,https://gov.optimism.io/t/shutterized-optimism-an-encrypted-mempool-for-the-op-stack/6387,2026-08-29,include,"K-C2,K-C4,K-C5","Public OP Stack technical architecture for threshold-encrypted mempool, DKG, keyper set, liveness/finality considerations."
STD3,design-doc,Fhenix,"FHE Rollups: Scaling Private Smart Contracts on Ethereum L2",2025,fhenix-fhe-rollups,https://www.fhenix.io/blog/introducing-fhe-rollups-scaling-confidential-smart-contracts-on-ethereum-and-beyond,2026-08-29,include,"K-C2,K-C5","Public architecture statement referencing a threshold decryption network for confidential computation release on Ethereum-oriented systems."
STD4,conference-page,USENIX,"Long Live The Honey Badger: Robust Asynchronous DPSS and its Applications",2023,usenixsecurity23-yurek,https://www.usenix.org/conference/usenixsecurity23/presentation/yurek,2026-08-29,include,"K-C4","Known-item recovery for asynchronous high-threshold DPSS under churn/faults; weakens broad dynamic share-maintenance novelty."
CT1,paper-metadata,OpenAlex DOI lookup,"UQ-Vote: Consensus-Authorized Threshold Decryption for End-to-End Verifiable Elections",2026,"10.1109/access.2026.3725080",https://api.openalex.org/works?filter=doi:10.1109/access.2026.3725080,2026-08-29,include,"K-C2,K-C3,K-C4","Known-item recovery and forward/backward-chain anchor for consensus-authorized threshold release with public-log semantics."
CT2,paper-metadata,OpenAlex DOI lookup,"Context-Dependent Threshold Decryption and Its Applications",2025,"10.1007/978-981-95-5119-4_16",https://api.openalex.org/works?filter=doi:10.1007/978-981-95-5119-4_16,2026-08-29,include,"K-C3","Known-item recovery and chain anchor showing context-bound threshold decryption is already explicit in the literature."
CT3,paper-metadata,OpenAlex DOI lookup,"Accountable Liveness",2025,"10.1145/3719027.3765032",https://api.openalex.org/works?filter=doi:10.1145/3719027.3765032,2026-08-29,include,"K-C4","Known-item recovery and chain anchor for timing/accountability constraints relevant to deadline-based blame narratives."
CT4,paper-metadata,Crossref / DOI,"Weighted Batched Threshold Encryption With Applications to Mempool Privacy",2026,"10.1109/SP63933.2026.00175",https://api.crossref.org/works/10.1109/SP63933.2026.00175,2026-08-29,include,"K-C2,K-C5","Backward chain ties together Ferveo, Shutter, vetKeys, BEAT-MEV, and practical encrypted-mempool literature; chain details were checked against the existing local Crossref raw snapshot."
CT5,paper-metadata,OpenAlex DOI lookup,"Chosen Ciphertext Secure Public Key Threshold Encryption Without Random Oracles",2006,"10.1007/11605805_15",https://api.openalex.org/works?filter=doi:10.1007/11605805_15,2026-08-29,include,"K-C3","CT-RSA 2006 threshold-encryption root used to show correctness-proof / partial-decryption lineage is old and heavily cited."
