evidence_id,surface,metric,value,unit,scope_or_blocker,claim_ids,source_path,evidence_stage,claim_ceiling
LOCAL_CRYPTO_N16,local cryptographic timing,open_median_ms,8.56629150257504,ms,local repeats=20; non-production research group,C002,prototype/results/crypto_benchmark.csv,PREAUTHORIZATION_INTERNAL,V3_INTERNAL
LOCAL_CRYPTO_N32,local cryptographic timing,open_median_ms,17.38189599745965,ms,local repeats=20; non-production research group,C002,prototype/results/crypto_benchmark.csv,PREAUTHORIZATION_INTERNAL,V3_INTERNAL
LOCAL_CRYPTO_N64,local cryptographic timing,open_median_ms,34.71377100140671,ms,local repeats=12; non-production research group,C002,prototype/results/crypto_benchmark.csv,PREAUTHORIZATION_INTERNAL,V3_INTERNAL
FOUNDRY_GAS_REGISTER_EPOCH,Foundry gas snapshot,register_epoch,223629,test-body gas,"Foundry test-body gas; setup excluded; small harness overhead may remain; n=5, t=3; duplicate-identity validation enabled",C002,contracts/gas_report.csv,PREAUTHORIZATION_INTERNAL,V3_INTERNAL
FOUNDRY_GAS_OPEN_AUDIT,Foundry gas snapshot,open_audit,125107,test-body gas,Foundry test-body gas; setup excluded; small harness overhead may remain; three sampled members; q=3,C002,contracts/gas_report.csv,PREAUTHORIZATION_INTERNAL,V3_INTERNAL
FOUNDRY_GAS_SUBMIT_AUDIT_RESPONSE,Foundry gas snapshot,submit_audit_response,57882,test-body gas,Foundry test-body gas; setup excluded; small harness overhead may remain; first commitment from one sampled custodian,C002,contracts/gas_report.csv,PREAUTHORIZATION_INTERNAL,V3_INTERNAL
FOUNDRY_GAS_MARK_INVALID_RESPONSE,Foundry gas snapshot,mark_invalid_response,27704,test-body gas,Foundry test-body gas; setup excluded; small harness overhead may remain; admin records a non-zero evidence hash,C002,contracts/gas_report.csv,PREAUTHORIZATION_INTERNAL,V3_INTERNAL
FOUNDRY_GAS_RECORD_EQUIVOCATION,Foundry gas snapshot,record_equivocation,51710,test-body gas,Foundry test-body gas; setup excluded; small harness overhead may remain; second conflicting commitment from one custodian,C002,contracts/gas_report.csv,PREAUTHORIZATION_INTERNAL,V3_INTERNAL
FOUNDRY_GAS_FINALIZE_AUDIT,Foundry gas snapshot,finalize_audit,29142,test-body gas,Foundry test-body gas; setup excluded; small harness overhead may remain; two responses for a three-member sample after deadline,C002,contracts/gas_report.csv,PREAUTHORIZATION_INTERNAL,V3_INTERNAL
FOUNDRY_GAS_OPEN_DISPUTE,Foundry gas snapshot,open_dispute,144149,test-body gas,"Foundry test-body gas; setup excluded; small harness overhead may remain; n=5, t=3; all members eligible",C002,contracts/gas_report.csv,PREAUTHORIZATION_INTERNAL,V3_INTERNAL
FOUNDRY_GAS_CANCEL_REQUEST,Foundry gas snapshot,cancel_request,5709,test-body gas,Foundry test-body gas; setup excluded; small harness overhead may remain; admin cancels one open audit,C002,contracts/gas_report.csv,PREAUTHORIZATION_INTERNAL,V3_INTERNAL
RID-C003-DEADLINE-001,distributed deadline behavior,MISSING,MISSING,N/A,representative distributed profile not executed,C003,research-case/02-feasibility/risk-register.csv,BLOCKED_EXTERNAL,ASSERTED_ONLY
PRODUCTION_OPERATOR,operator feasibility,MISSING,MISSING,N/A,production operator evidence absent,C003,research-case/02-feasibility/risk-register.csv,BLOCKED_EXTERNAL,ASSERTED_ONLY
PRODUCTION_NETWORK,network feasibility,MISSING,MISSING,N/A,production network evidence absent,C003,research-case/02-feasibility/risk-register.csv,BLOCKED_EXTERNAL,ASSERTED_ONLY
EXTERNAL_VALIDATION,external feasibility,MISSING,MISSING,N/A,claim-matched external validation absent,C003,research-case/02-feasibility/risk-register.csv,BLOCKED_EXTERNAL,ASSERTED_ONLY
