risk_id,category,description,likelihood,impact,status,evidence_grade,evidence_source,owner,mitigation,verification,related_claims,trigger
R001,governance,"Accountable-human draft-design authority and the no-conflict policy basis are directly confirmed for the current INTAKE package, but final author order, corresponding-author identity, affiliation wording, institutional endorsement, execution, external sharing, submission, and scientific verification remain separately gated",Medium,High,VERIFIED,E3 DIRECT,"research-case/00-governance/accountable-authority-confirmation.md; research-case/00-governance/program-charter.md; research-case/00-governance/study-profile.json; research-case/program-state.json",human_approval,"Preserve the confirmed draft-design authority boundary and require separate accountable decisions for final metadata, institutional endorsement, execution, external sharing, submission, and scientific verification","research-case/00-governance/accountable-authority-confirmation.md remains consistent with research-case/00-governance/program-charter.md, research-case/00-governance/study-profile.json, and research-case/program-state.json","C001|C002|C003","Any attempt to treat draft-design authority as execution, external-sharing, or submission approval"
R002,novelty,"Broad novelty is already rejected and the narrow REFRAME claim remains unresolved after bounded prior-art, patent, and standards-adjacent review",High,High,BLOCKED,E3 DIRECT,"research-case/01-novelty/novelty_reconciliation.md; research-case/01-novelty/independent-search-challenge.md; research-case/01-novelty/novelty-matrix.csv; research-case/01-novelty/primary-search/strongest_predecessor_matrix.md",novelty_synthesis,"Preserve narrow claim-safe wording, complete citation-chain closure, and require independent novelty verification before broadening language","Updated research-case/01-novelty/novelty-matrix.csv plus independent scientific verification event","C001|C003","New manuscript or feasibility wording exceeds the narrow claim"
R003,claim_validity,"Existing exploratory or internal results could leak into confirmatory thresholds or stronger manuscript wording",Medium,High,BLOCKED,E3 DIRECT,"WORKSPACE.md; docs/19_MPP_TO_PUBLISHABLE_PAPER_PLAN_BN.md; docs/superpowers/plans/keystone_mpp_goal_plan.md; research-case/02-feasibility/progression-criteria.csv",methods_design,"Freeze protocol, analysis plan, progression criteria, and stop rules before any confirmatory rerun; keep current results planning-only","Dated 03-design package showing thresholds were fixed before rerun","C002|C003","A threshold or claim is chosen after outcome inspection"
R004,adversary_model,"Selective withholding lets custodians pass canary audits yet fail targeted disputes, limiting any stronger readiness claim",High,High,VERIFIED,E3 DIRECT,"VERIFICATION.md; prototype/results/selective_withholding.csv; prototype/results/figures/figure_4_selective_withholding_gap.svg; paper/claims.md",solution_viability,"Keep the counterexample as a preserved negative result and cap claims to present-readiness proxy language only","Confirmatory reproduction of prototype/results/selective_withholding.csv and manuscript non-claim language","C003","Audit success is described as future-dispute guarantee"
R005,systems,"Distributed deadline behavior is still unmeasured under representative multi-process or multi-machine latency, loss, and crash conditions",High,High,AT RISK,E1 ASSERTED,"VERIFICATION.md; docs/14_PUBLICATION_SUCCESS_GATES.md; docs/19_MPP_TO_PUBLISHABLE_PAPER_PLAN_BN.md",authorized_execution,"Run a bounded synthetic distributed benchmark with frozen synchrony assumptions before any stronger deadline or accountability wording","Pilot traces and benchmark report under a frozen environment and fault profile","C003","Deadline or accountability claim goes beyond local toy evidence"
R006,crypto_review,"Formal proof completion and independent threshold-cryptography review remain incomplete",Medium,High,AT RISK,E2 INDIRECT,"paper/theorem_roadmap.md; docs/14_PUBLICATION_SUCCESS_GATES.md; docs/19_MPP_TO_PUBLISHABLE_PAPER_PLAN_BN.md",human_approval,"Complete proof obligations or narrow the claims, then obtain an external cryptography review","Proof-obligation ledger and reviewer memo","C001|C003","A theorem-level claim is made without completed proof or review"
R007,reproducibility,"Core evidence has same-workspace reproduction but lacks clean-machine or independently operated reproduction",Medium,High,AT RISK,E2 INDIRECT,"VERIFICATION.md; WORKSPACE.md; docs/14_PUBLICATION_SUCCESS_GATES.md",reproducibility_challenge,"Run an independent reproduction from authoritative inputs and compare hashes and key results within declared tolerances","Independent reproduction report with manifests and hashes","C002|C003","A result is treated as robust beyond the original workspace"
R008,implementation_boundary,"Dealer-based setup and experimental refresh are not production DKG or PVSS evidence",High,Medium,VERIFIED,E3 DIRECT,"FREEZE.md; prototype/README.md; research-case/00-governance/program-charter.md; contracts/README.md",solution_viability,"Keep dealer setup as a research substitution and preserve the production DKG or PVSS boundary in all claims","Manuscript and report wording retain the non-production boundary","C002|C003","Production-security or deployment wording drifts into the artifact"
R009,modeling,"Failure-domain labels, outage assumptions, or placement constraints may not match real deployments closely enough for operational guidance",Medium,Medium,AT RISK,E2 INDIRECT,"VERIFICATION.md; docs/14_PUBLICATION_SUCCESS_GATES.md; paper/claims.md",confirmatory_analysis,"Declare domain-model inputs, run sensitivity analysis, and remove operational recommendations that depend on unsupported metadata","Sensitivity results plus external operator or systems review","C003","Correlation results are used for deployment guidance"
R010,contract_security,"The bulletin-board contract is a research-only ledger boundary and lacks an independent security audit or on-chain proof verification",Medium,Medium,AT RISK,E3 DIRECT,"contracts/README.md; VERIFICATION.md; docs/14_PUBLICATION_SUCCESS_GATES.md",human_approval,"Keep the contract framed as a research boundary and require an independent security review before production evolution claims","External security review memo or maintained research-only scope","C002|C003","The contract is described as production-ready or as proof-complete"
R011,submission_readiness,"Current venue, artifact, and reporting requirements remain unresolved for the eventual full paper",Medium,Medium,AT RISK,E1 ASSERTED,"research-case/00-governance/program-charter.md; docs/19_MPP_TO_PUBLISHABLE_PAPER_PLAN_BN.md; docs/14_PUBLICATION_SUCCESS_GATES.md",venue_compliance,"Verify the target venue, artifact rules, and reporting obligations before manuscript integration or submission-readiness claims","Dated venue and reporting requirements check","C001|C002|C003","A full-paper-ready claim is made without venue verification"
