cell_id,phase,agent_type,access,owned_scope,forbidden_scope,dependencies,skill_focus,lease_id,status
intake_integration,INTAKE,root-integration-owner,write,program-state.json|artifact-registry.csv|00-governance/*,,,orchestrate-top-journal-research,,COMPLETED
problem_investigation,NOVELTY_AUDIT,research-analyst,write,01-novelty/problem-investigation.md|01-novelty/novelty-claim-specification.md|01-novelty/causal-model.mmd,program-state.json|artifact-registry.csv|orchestration-plan.json,intake_integration,solve-novel-problems|scientific-brainstorming|hypothesis-generation,,READY
prior_art_retrieval_race,NOVELTY_AUDIT,search-specialist,write,.control/novelty-candidates/*,program-state.json|artifact-registry.csv|orchestration-plan.json,problem_investigation,paper-lookup|literature-review|reproducible-live-adapters|candidate-only-retrieval,,PENDING
prior_art_search,NOVELTY_AUDIT,search-specialist,write,01-novelty/search-protocol.md|01-novelty/prior-art-*.json|01-novelty/prior-art-raw/*|01-novelty/search-coverage.csv|01-novelty/evidence-ledger.csv,program-state.json|artifact-registry.csv|orchestration-plan.json,prior_art_retrieval_race,paper-lookup|literature-review|citation-management|reproducible-live-adapters|candidate-reconciliation,,PENDING
prior_art_search_challenge,NOVELTY_AUDIT,docs-researcher,write,01-novelty/independent-search-challenge.md,program-state.json|artifact-registry.csv|orchestration-plan.json,problem_investigation,paper-lookup|literature-review|citation-management|independent-search,,PENDING
novelty_synthesis,NOVELTY_AUDIT,research-analyst,write,01-novelty/novelty-matrix.csv|01-novelty/candidate-portfolio.md,program-state.json|artifact-registry.csv|orchestration-plan.json,problem_investigation|prior_art_search|prior_art_search_challenge,solve-novel-problems|scientific-critical-thinking,,PENDING
citation_challenge,NOVELTY_AUDIT,docs-researcher,write,01-novelty/citation-audit.md,program-state.json|artifact-registry.csv|orchestration-plan.json,prior_art_search|novelty_synthesis,citation-management,,PENDING
solution_viability,FEASIBILITY_GATE,research-analyst,write,02-feasibility/solution-viability-case.md|02-feasibility/evidence-maturity-ladder.csv,program-state.json|artifact-registry.csv|orchestration-plan.json,novelty_synthesis|citation_challenge,solve-novel-problems|research-feasibility-gate|falsification|evidence-maturity,,PENDING
feasibility_science,FEASIBILITY_GATE,research-analyst,write,02-feasibility/feasibility-report.md|02-feasibility/progression-criteria.csv|02-feasibility/pilot-plan.md|02-feasibility/pilot-results.md,program-state.json|artifact-registry.csv|orchestration-plan.json,solution_viability,research-feasibility-gate,,PENDING
feasibility_risk,FEASIBILITY_GATE,risk-manager,write,02-feasibility/risk-register.csv,program-state.json|artifact-registry.csv|orchestration-plan.json,solution_viability,research-feasibility-gate|ethics|safety,,PENDING
methods_design,STUDY_DESIGN,data-scientist,write,03-design/protocol.md|03-design/analysis-plan.md|03-design/preregistration-and-deviations.md,program-state.json|artifact-registry.csv|orchestration-plan.json,feasibility_science|feasibility_risk,experimental-design,,PENDING
power_challenge,STUDY_DESIGN,quant-analyst,write,03-design/power-or-precision.md,program-state.json|artifact-registry.csv|orchestration-plan.json,methods_design,statistical-power,,PENDING
authorized_execution,AUTHORIZED_EXECUTION,data-engineer,write,04-data/*,program-state.json|artifact-registry.csv|orchestration-plan.json,methods_design|power_challenge,provenance|authorization|evidence-origin-labeling,,PENDING
exploratory_analysis,ANALYSIS,data-analyst,write,05-analysis/results/exploratory-findings.csv,program-state.json|artifact-registry.csv|orchestration-plan.json,authorized_execution,exploratory-data-analysis|post-hoc-labeling,,PENDING
confirmatory_analysis,ANALYSIS,quant-analyst,write,05-analysis/results/primary-results.csv|05-analysis/results/robustness-and-boundaries.csv|05-analysis/results/negative-findings.csv|06-visuals/tables/t2-proposed-vs-baselines.csv|06-visuals/tables/t5-ablation-or-mechanism.csv,program-state.json|artifact-registry.csv|orchestration-plan.json,authorized_execution,statistical-analysis,,PENDING
data_conditions,ANALYSIS,data-analyst,write,06-visuals/tables/t3-data-or-conditions.csv,program-state.json|artifact-registry.csv|orchestration-plan.json,authorized_execution,exploratory-data-analysis|data-conditions,,PENDING
external_validation,ANALYSIS,research-analyst,write,05-analysis/external-validation/protocol.md|05-analysis/external-validation/results.csv|05-analysis/external-validation/real-world-validation-report.md|06-visuals/tables/t7-real-world-feasibility.csv,program-state.json|artifact-registry.csv|orchestration-plan.json,exploratory_analysis|confirmatory_analysis|data_conditions,external-validation|research-feasibility-gate|statistical-analysis,,PENDING
external_validation_challenge,ANALYSIS,reviewer,write,05-analysis/external-validation/challenge.md,program-state.json|artifact-registry.csv|orchestration-plan.json,external_validation,generalizability|transportability|real-world-boundaries,,PENDING
reproducibility_challenge,ANALYSIS,reviewer,write,05-analysis/reproducibility-report.md,program-state.json|artifact-registry.csv|orchestration-plan.json,exploratory_analysis|confirmatory_analysis|data_conditions|external_validation_challenge,reproducibility|statistical-analysis,,PENDING
manuscript_integration,MANUSCRIPT,technical-writer,write,07-manuscript/*,program-state.json|artifact-registry.csv|orchestration-plan.json,confirmatory_analysis|data_conditions|external_validation_challenge|reproducibility_challenge,scientific-writing|venue-templates,,PENDING
quantitative_visuals,MANUSCRIPT,data-scientist,write,06-visuals/figures/*|06-visuals/visual-ledger.csv,program-state.json|artifact-registry.csv|orchestration-plan.json,confirmatory_analysis,matplotlib|seaborn|scientific-visualization,,PENDING
research_diagrams,MANUSCRIPT,mermaid-expert,write,06-visuals/diagrams/*|06-visuals/schematics/*,program-state.json|artifact-registry.csv|orchestration-plan.json,methods_design|novelty_synthesis,mermaid-skill|scientific-schematics,,PENDING
research_images,MANUSCRIPT,image-generator,write,06-visuals/images/*,program-state.json|artifact-registry.csv|orchestration-plan.json,manuscript_integration,imagegen|disclosure|non-evidentiary only,,PENDING
editor_challenge,ADVERSARIAL_QA,reviewer,write,08-validation/reviews/editor.md,program-state.json|artifact-registry.csv|orchestration-plan.json,manuscript_integration|quantitative_visuals|research_diagrams,top-journal-paper-validator,,PENDING
novelty_domain_challenge,ADVERSARIAL_QA,research-analyst,write,08-validation/reviews/novelty-domain.md,program-state.json|artifact-registry.csv|orchestration-plan.json,manuscript_integration|novelty_synthesis|citation_challenge,top-journal-paper-validator|solve-novel-problems,,PENDING
methods_stats_challenge,ADVERSARIAL_QA,quant-analyst,write,08-validation/reviews/methods-statistics.md,program-state.json|artifact-registry.csv|orchestration-plan.json,manuscript_integration,top-journal-paper-validator|statistical-analysis,,PENDING
real_world_ethics_challenge,ADVERSARIAL_QA,risk-manager,write,08-validation/reviews/real-world-ethics.md,program-state.json|artifact-registry.csv|orchestration-plan.json,manuscript_integration,top-journal-paper-validator|ethics|feasibility,,PENDING
visual_repro_challenge,ADVERSARIAL_QA,reviewer,write,08-validation/reviews/visual-reproducibility.md,program-state.json|artifact-registry.csv|orchestration-plan.json,quantitative_visuals|research_diagrams|research_images,top-journal-paper-validator|scientific-visualization,,PENDING
clarity_coherence_challenge,ADVERSARIAL_QA,reviewer,write,08-validation/reviews/clarity-coherence.md,program-state.json|artifact-registry.csv|orchestration-plan.json,manuscript_integration|quantitative_visuals,top-journal-paper-validator|scientific-writing,,PENDING
postdoctoral_standards_challenge,ADVERSARIAL_QA,reviewer,write,08-validation/postdoctoral-standards-audit.md,program-state.json|artifact-registry.csv|orchestration-plan.json,manuscript_integration|quantitative_visuals|research_diagrams|methods_stats_challenge|editor_challenge,top-journal-paper-validator|scientific-writing|scientific-visualization|postdoctoral-standard-rubric,,PENDING
validation_integration,ADVERSARIAL_QA,root-integration-owner,write,08-validation/killer-question-ledger.csv|08-validation/remediation-log.csv,,editor_challenge|novelty_domain_challenge|methods_stats_challenge|real_world_ethics_challenge|visual_repro_challenge|clarity_coherence_challenge|postdoctoral_standards_challenge,top-journal-paper-validator,,PENDING
venue_compliance,SUBMISSION_QA,docs-researcher,write,09-submission/venue-portfolio.csv|09-submission/venue-rules.md|09-submission/reporting-checklist.md|09-submission/submission-audit.md|09-submission/submission-gate-ledger.csv,program-state.json|artifact-registry.csv|orchestration-plan.json,validation_integration,venue-templates|citation-management|current official rules|reporting-guidelines|structured-gate-rules,,PENDING
