visual_id,type,claim_ids,source_data,source_code,caption,accessibility_status,review_status
V-F01,figure,C001|C003,prototype/results/theoretical_bound.csv,prototype/scripts/run_experiments.py,"Static catastrophic-state detection bound under one-audit uniform sampling; static semantics only.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_PREAUTH
V-F02,figure,C003,prototype/results/iid_failure_sweep.csv,prototype/scripts/run_experiments.py,"IID outage simulation showing reconstruction success and audit-pass rate with Wilson intervals.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_PREAUTH
V-F03,figure,C003,prototype/results/domain_diversity.csv,prototype/scripts/run_experiments.py,"Correlated-domain outage simulation under truthful domain labels; reconstruction and catastrophic rates remain model-bounded.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_PREAUTH
V-F04,figure,C003,prototype/results/selective_withholding.csv,prototype/scripts/run_experiments.py,"Selective-withholding negative-result figure; audit pass does not imply targeted dispute success.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_LIMITATION
V-F05,figure,C003,prototype/results/sampling_strategy.csv,prototype/scripts/run_experiments.py,"Matched policy comparison for uniform versus stratified sampling under conditioned catastrophic states.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_PREAUTH
V-D01,diagram,C001|C002|C003,research-case/01-novelty/causal-model.mmd|research-case/03-design/protocol.md,diagrams/01_system_architecture.dot|diagrams/01_system_architecture.mmd|scripts/render_dense_diagrams.py,"System architecture separating ciphertext DA, readiness audit, authorization, threshold release, and re-execution.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_PROTOCOL
V-D02,diagram,C001,paper/property_separation_obligations.md|research-case/01-novelty/novelty-matrix.csv,diagrams/02_property_separation.mmd|diagrams/02_property_separation.dot|scripts/render_property_separation_diagram.py,"Exactly three constructive non-implication witnesses; this is not a complete pairwise property lattice.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_RENDERED_LOCAL_QA
V-D03,diagram,C002|C003,research-case/03-design/protocol.md,diagrams/03_audit_sequence.dot|diagrams/03_audit_sequence.mmd,"Audit workflow over fresh canaries; no production ciphertext is exercised by the routine audit path.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_PROTOCOL
V-D04,diagram,C002|C003,research-case/03-design/protocol.md,diagrams/04_dispute_sequence.dot|diagrams/04_dispute_sequence.mmd,"Authorized dispute workflow for confidential release, threshold combination, and verdict generation.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_PROTOCOL
V-D05,diagram,C002,research-case/03-design/protocol.md,diagrams/05_state_machines.dot|diagrams/05_state_machines.mmd|scripts/render_dense_diagrams.py,"Epoch, audit, and dispute state transitions for the non-production implementation boundary.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_APPENDIX
V-D06,diagram,C001|C003,research-case/02-feasibility/risk-register.csv|research-case/03-design/protocol.md,diagrams/06_threat_model.dot|diagrams/06_threat_model.mmd|scripts/render_dense_diagrams.py,"Threat-model overview linking adversary classes, controls, and residual risks.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_LIMITATION
V-D07,diagram,C003,research-case/03-design/protocol.md,diagrams/07_sampling_domains.dot|diagrams/07_sampling_domains.mmd|scripts/render_dense_diagrams.py,"Illustrative failure-domain layout for uniform versus domain-stratified sampling.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_ROBUSTNESS
V-D08,diagram,C002|C003,research-case/03-design/analysis-plan.md|research-case/03-design/preregistration-and-deviations.md,diagrams/08_experiment_pipeline.dot|diagrams/08_experiment_pipeline.mmd|scripts/render_dense_diagrams.py,"Experiment-to-paper workflow showing frozen configs, simulator outputs, figures, and evidence integration.",SEMANTIC_SVG_PASS_AUTOMATED_PROXY_COMPLETE_WITH_WARNINGS_CONTEXTUAL_CVD_ASSISTIVE_TECH_VENUE_PENDING,DRAFT_REPRO
