query_id,access_date,surface,query_or_lookup,snippets_screened,pages_opened,included_records,decision,notes
P01,2026-08-29,Google Patents,"site:patents.google.com threshold decryption blockchain patent",1,1,1,include,"Top-return screening led to EP3811560B1 as the only material adjacent hit captured in this pass."
P02,2026-08-29,Google Patents,"site:patents.google.com threshold encryption blockchain privacy patent",1,1,1,include,"Reinforced EP3811560B1 adjacency; no single direct KEYSTONE-style readiness-audit patent recovered."
P03,2026-08-29,Google Patents,"site:patents.google.com verifiable partial decryption patent",1,0,0,exclude,"Returned generic primitive-level noise; no stronger operational blockchain predecessor opened from this query."
P04,2026-08-29,Google Patents,"site:patents.google.com secret share availability audit patent",1,1,1,include,"Led to US20170005797A1 as an operational share-retrievability / challenge-system adjacency."
P05,2026-08-29,Google Patents,"site:patents.google.com ""threshold decryption"" blockchain ""patent""",1,1,1,include,"Overlap with EP3811560B1 / related threshold-blockchain pages; broad framing further weakened."
P06,2026-08-29,Google Patents,"site:patents.google.com ""mempool privacy"" threshold decryption patent",1,0,0,exclude,"No opened patent page in this pass; noisy search results only."
P07,2026-08-29,Google Patents,"site:patents.google.com ""threshold key"" blockchain secret patent",1,0,0,exclude,"No material direct hit opened."
P08,2026-08-29,Google Patents,"site:patents.google.com ""publicly verifiable secret sharing"" patent blockchain",1,0,0,exclude,"Mostly primitive-level or noisy results; no direct operational predecessor opened."
P09,2026-08-29,Google Patents,"site:patents.google.com ""encrypted mempool"" patent",1,0,0,exclude,"No material patent page opened."
P10,2026-08-29,Google Patents,"site:patents.google.com ""threshold services network"" patent",1,0,0,exclude,"No material patent page opened."
P11,2026-08-29,Google Patents,"site:patents.google.com ""challenge window"" threshold decryption patent blockchain",1,0,0,exclude,"No direct claim-defeating patent recovered."
P12,2026-08-29,Google Patents,"site:patents.google.com ""public bulletin board"" threshold decryption patent",1,0,0,exclude,"No material patent page opened."
P13,2026-08-29,Google Patents,"site:patents.google.com ""threshold decryption"" audit patent",1,1,1,include,"Recovered the strongest public patent wording overlap through EP3811560B1 audit-procedure language."
P14,2026-08-29,Google Patents,"site:patents.google.com ""secret share"" retrievability patent",1,1,1,include,"Recovered US20170005797A1 as the strongest retrievability-adjacent public patent."
P15,2026-08-29,Google Patents,"site:patents.google.com ""proof of retrievability"" patent threshold",1,1,1,include,"Reinforced US20170005797A1 operational share-checking relevance."
P16,2026-08-29,Google Patents,"site:patents.google.com ""key availability"" threshold patent blockchain",1,0,0,exclude,"No direct public patent recovered for the exact key-serviceability wording."
P17,2026-08-29,Google Patents,"site:patents.google.com ""audit procedure"" ""threshold decryption shares"" blockchain",1,1,1,include,"Directly matched EP3811560B1 wording and was treated as the strongest patent overlap."
P18,2026-08-29,Google Patents,"site:patents.google.com ""proof-of-retrievability"" ""secret shares""",1,1,1,include,"Directly reinforced US20170005797A1 adjacency."
P19,2026-08-29,Google Patents,"site:patents.google.com ""threshold decryption method"" correctness patent",1,1,1,background,"Recovered WO2024228005A1 as a contemporary correctness-check background source."
S01,2026-08-29,Web search,"site:ethresear.ch threshold decryption mempool privacy rollup",1,0,0,background,"Useful for context, but the stronger closure document used here is the public Optimism technical proposal and prior paper chain."
S02,2026-08-29,Web search,"site:gov.optimism.io shutterized optimism encrypted mempool",1,1,1,include,"Recovered the OP Stack / Bedrock threshold-encryption architecture document."
S03,2026-08-29,Web search,"site:fhenix.io FHE rollups threshold decryption network",1,1,1,include,"Recovered the public Fhenix threshold-decryption-network architecture statement."
S04,2026-08-29,Web search,"site:ethresear.ch private optimistic rollup threshold decryption",1,0,0,background,"Contextual results only; not used as a primary closure source."
S05,2026-08-29,Web search,"site:ethresear.ch ""threshold decryption"" rollup dispute",1,0,0,background,"No stronger direct dispute-readiness source opened from this query."
S06,2026-08-29,Web search,"site:gov.optimism.io ""encrypted mempool"" ""threshold encryption"" OP Stack",1,1,1,include,"Reinforced the same Shutterized Optimism architecture document."
S07,2026-08-29,Web search,"site:fhenix.io ""Threshold Services Network""",1,0,0,background,"Search pointed to the same family of public Fhenix architecture material; not separately opened here."
