source_id,status,axis,title,authors,year,venue_or_surface,identifier,url,access_date,screening_decision,notes
S01,DRAFT/PRIMARY_SEARCH,data-availability,"EIP-7594: PeerDAS - Peer Data Availability Sampling","Ethereum EIP authors",2024,"official EIP","EIP-7594","https://eips.ethereum.org/EIPS/eip-7594",2026-08-29,include,"Primary source for probabilistic public blob/data availability in rollups; not about threshold decryption readiness."
S02,DRAFT/PRIMARY_SEARCH,encrypted-AI-rollup,"EigenAI: Deterministic Inference, Verifiable Results","David Ribeiro Alves et al.",2026,"arXiv","arXiv:2602.00182","https://arxiv.org/abs/2602.00182",2026-08-29,include,"Directly relevant adjacent system: encrypted AI execution, challenge window, threshold-released key."
S03,DRAFT/PRIMARY_SEARCH,context-isolation,"Context-Dependent Threshold Decryption and Its Applications","Dan Boneh et al.",2025,"ASIACRYPT 2025 / Springer / ePrint lineage","DOI 10.1007/978-981-95-5119-4_16","https://doi.org/10.1007/978-981-95-5119-4_16",2026-08-29,include,"Strong collision against any claim that context binding or share isolation is new."
S04,DRAFT/PRIMARY_SEARCH,consensus-authorized-release,"UQ-Vote: Consensus-Authorized Threshold Decryption for End-to-End Verifiable Elections","Jingyu Liu; Jingjing Rao; Tetsutaro Uehara",2026,"IEEE Access","DOI 10.1109/access.2026.3725080","https://doi.org/10.1109/access.2026.3725080",2026-08-29,include,"Strong adjacent systems predecessor for finalized-state authorization, public log, threshold release, and liveness/fault scenarios."
S05,DRAFT/PRIMARY_SEARCH,proactive-dynamic-sharing,"Long Live The Honey Badger: Robust Asynchronous DPSS and its Applications","Thomas Yurek et al.",2023,"USENIX Security 23","USENIX Security 23","https://www.usenix.org/conference/usenixsecurity23/presentation/yurek",2026-08-29,include,"Primary source for DPSS under churn and faults."
S06,DRAFT/PRIMARY_SEARCH,verifiable-threshold-decryption,"Chosen Ciphertext Secure Public Key Threshold Encryption Without Random Oracles","Dan Boneh; Xavier Boyen; Shai Halevi",2006,"CT-RSA 2006 / Springer; pages 226-243","DOI 10.1007/11605805_15","https://doi.org/10.1007/11605805_15",2026-08-29,include,"Threshold-decryption baseline with robust identification of invalid partial decryptions."
S07,DRAFT/PRIMARY_SEARCH,dleq-lineage,"Wallet Databases with Observers","David Chaum; Torben Pryds Pedersen",1993,"Advances in Cryptology - CRYPTO '92 / Springer; pages 89-105","DOI 10.1007/3-540-48071-4_7","https://doi.org/10.1007/3-540-48071-4_7",2026-08-29,include,"Canonical equality-of-discrete-log proof lineage; conference held in 1992 and proceedings published in 1993; KEYSTONE cannot claim the DLEQ-style proof family."
S08,DRAFT/PRIMARY_SEARCH,accountable-liveness,"Accountable Liveness","Andrew Lewis-Pye et al.",2025,"ACM CCS 2025 / arXiv lineage","DOI 10.1145/3719027.3765032","https://doi.org/10.1145/3719027.3765032",2026-08-29,include,"Primary formal source for timing-sensitive liveness accountability limits."
S09,DRAFT/PRIMARY_SEARCH,blockchain-threshold-decryption,"Ferveo: Threshold Decryption for Mempool Privacy in BFT networks","Joseph Bebel; Dev Ojha",2022,"IACR ePrint","ePrint 2022/898","https://eprint.iacr.org/2022/898",2026-08-29,include,"Direct blockchain threshold-decryption deployment adjacency."
S10,DRAFT/PRIMARY_SEARCH,blockchain-threshold-decryption,"Practical Mempool Privacy via One-time Setup Batched Threshold Encryption","Arka Rai Choudhuri; Sanjam Garg; Guru Vamsi Policharla; Mingyuan Wang",2025,"USENIX Security 25; pages 3477-3495","USENIX Security 25","https://www.usenix.org/conference/usenixsecurity25/presentation/choudhuri",2026-08-29,include,"Strong operational prior art for threshold decryption on blockchains with liveness / privacy constraints."
S11,DRAFT/PRIMARY_SEARCH,blockchain-threshold-key-service,"vetKeys: How a Blockchain Can Keep Many Secrets","Andrea Cerulli; Aisling Connolly; Gregory Neven; Franz-Stefan Preiss; Victor Shoup",2023,"IACR ePrint","ePrint 2023/616","https://eprint.iacr.org/2023/616",2026-08-29,include,"Blockchain-hosted threshold key service adjacency; useful against broad key-service novelty claims."
S12,DRAFT/PRIMARY_SEARCH,query-zero-hit,"\"dispute-key availability\" threshold rollup","n/a",2026,"public web search","query-only","n/a",2026-08-29,retain-as-log,"No direct canonical result recovered; not evidence of novelty."
S13,DRAFT/PRIMARY_SEARCH,query-zero-hit,"\"decryption key availability\" encrypted rollup","n/a",2026,"public web search","query-only","n/a",2026-08-29,retain-as-log,"No direct canonical result recovered; not evidence of novelty."
S14,DRAFT/PRIMARY_SEARCH,query-open-question,"proof of retrievability secret share","n/a",2026,"public web search","query-only","n/a",2026-08-29,retain-as-log,"No clearly on-point readiness-audit paper recovered in this bounded pass."
